shipment_id,order_line_key,shipment_date,Customer_Key,Plant_Key,Material_Key,Delivery_Qty,Ship_Method,Carrier,Tracking_Number
36,40,2024-12-08,9366,23,7602,495,Parcel,DHL,TRK3653350068
37,41,2026-11-30,2307,31,1932,587,Parcel,Maersk,TRK6528414352
38,43,2024-11-12,8262,24,9285,168,LTL,FedEx,TRK6720445052
39,43,2024-11-14,8262,24,9285,437,FTL,DB Schenker,TRK9646006782
40,44,2025-09-09,18373,8,141,235,LTL,DB Schenker,TRK2497201430
41,46,2026-08-06,49086,25,6273,204,FTL,XPO,TRK5081620454
42,48,2026-04-23,978,5,2494,325,Air,DHL,TRK2446690591
43,49,2025-08-22,3023,9,8975,679,Parcel,Maersk,TRK2294683800
44,50,2026-12-30,7904,7,7836,326,LTL,UPS,TRK7987055400
45,51,2026-04-05,25919,20,7136,32,LTL,DHL,TRK2512727933
46,52,2026-12-26,8823,25,1266,404,LTL,UPS,TRK4071369668
47,54,2026-07-05,7302,16,6241,106,LTL,FedEx,TRK8226534133
48,54,2026-07-07,7302,16,6241,48,LTL,DB Schenker,TRK2193957761
49,55,2025-08-26,6439,17,9696,18,Parcel,FedEx,TRK7999688438
50,56,2025-06-24,10707,25,9383,54,Parcel,FedEx,TRK4968821140
51,56,2025-06-26,10707,25,9383,146,Parcel,DHL,TRK6297153298
52,57,2024-12-30,42260,22,3875,138,LTL,DHL,TRK5450555078
53,58,2026-07-21,2526,27,8723,144,FTL,DB Schenker,TRK6152670649
54,59,2026-08-08,2786,8,1005,417,Parcel,UPS,TRK2911711922
55,60,2024-09-28,48600,4,2922,207,Parcel,FedEx,TRK5583727569
56,62,2026-07-23,2435,16,9281,471,Parcel,FedEx,TRK3595340746
57,63,2025-01-29,3224,20,6471,467,Parcel,FedEx,TRK3274119909
58,64,2025-10-08,37628,14,2910,184,LTL,UPS,TRK8321075120
59,65,2025-10-29,7108,29,8606,372,FTL,UPS,TRK2793773011
60,66,2025-03-22,32259,29,738,283,LTL,DB Schenker,TRK6199740227
61,68,2025-08-14,1571,13,5678,433,FTL,FedEx,TRK4625127964
62,69,2026-03-03,4429,9,5211,133,FTL,FedEx,TRK6783636910
63,71,2026-12-11,15344,8,2499,519,FTL,UPS,TRK8137961395
64,72,2024-11-03,292,23,3639,259,Parcel,Maersk,TRK5581736851
65,73,2026-01-22,21266,21,1474,597,FTL,DHL,TRK5425538185
66,74,2024-09-24,1001,5,3272,300,Parcel,XPO,TRK4274261290
67,75,2027-02-15,1659,6,8303,45,LTL,DHL,TRK8316731901
68,77,2025-08-03,1497,4,6603,432,LTL,DHL,TRK8777006258
69,78,2026-08-13,23877,26,4739,260,LTL,XPO,TRK5465471448
70,81,2025-08-22,8919,9,5645,336,Air,FedEx,TRK9293295807
71,82,2027-01-08,4240,22,3582,152,FTL,UPS,TRK1454758509
72,82,2027-01-10,4240,22,3582,181,Parcel,Maersk,TRK6504099119
73,83,2026-09-18,5463,34,886,250,FTL,UPS,TRK8707947890
74,84,2025-05-21,6716,24,3350,138,LTL,DHL,TRK4497715663
75,85,2025-03-23,15517,7,4650,153,FTL,DHL,TRK5394575178
76,85,2025-03-25,15517,7,4650,356,Parcel,UPS,TRK7252997104
77,86,2025-04-06,9756,9,5090,60,Parcel,Maersk,TRK2118102323
78,86,2025-04-08,9756,9,5090,152,LTL,DHL,TRK4050411737
79,87,2025-08-03,38639,11,4869,5,FTL,Maersk,TRK4836581430
80,87,2025-08-05,38639,11,4869,388,LTL,FedEx,TRK6193862730
81,89,2025-01-15,46057,9,4637,36,Air,FedEx,TRK9709439192
82,90,2025-03-20,34766,15,3503,130,FTL,XPO,TRK7505952185
83,91,2026-08-07,24808,23,6912,75,FTL,DB Schenker,TRK3777353448
84,91,2026-08-09,24808,23,6912,579,FTL,UPS,TRK9335458670
85,92,2026-08-22,39921,24,1650,278,FTL,DHL,TRK9838115391
86,95,2026-08-08,10700,7,7748,8,LTL,FedEx,TRK8891926715
87,97,2024-08-14,2126,6,3298,285,Parcel,DB Schenker,TRK9649461680
88,99,2024-12-09,1494,7,4150,649,Air,DB Schenker,TRK5187776143
89,100,2026-01-12,8653,32,8700,396,LTL,Maersk,TRK5932883972
90,101,2024-10-10,9737,19,9411,9,Air,UPS,TRK4798935261
91,101,2024-10-12,9737,19,9411,17,Air,UPS,TRK3590761508
92,102,2024-10-16,7635,33,8047,387,LTL,DB Schenker,TRK8055879222
93,103,2026-03-18,9415,21,6123,33,FTL,Maersk,TRK3485793451
94,104,2026-09-10,47656,9,2248,422,FTL,FedEx,TRK5055134582
95,104,2026-09-12,47656,9,2248,237,Parcel,FedEx,TRK5290627977
96,105,2025-07-20,8678,10,5172,78,Parcel,Maersk,TRK6833368511
97,107,2025-01-19,38455,11,2128,3,Air,DB Schenker,TRK9319588464
98,109,2026-03-03,30576,24,3881,233,Parcel,XPO,TRK7003318746
99,110,2025-04-06,7069,18,3057,71,Parcel,DB Schenker,TRK6670239881
100,112,2025-08-29,5849,15,9733,189,Parcel,XPO,TRK4997788241
101,113,2026-07-16,9623,13,509,212,LTL,UPS,TRK1501696113
102,114,2027-02-07,7930,5,7750,99,FTL,XPO,TRK5177913658
103,114,2027-02-09,7930,5,7750,274,LTL,DB Schenker,TRK1444269908
104,115,2025-10-21,46714,3,6396,164,LTL,DB Schenker,TRK8102080416
105,117,2026-06-21,34029,5,9014,372,LTL,DB Schenker,TRK4076229116
106,118,2026-10-07,25325,24,4273,91,FTL,UPS,TRK5969845942
107,118,2026-10-09,25325,24,4273,100,FTL,XPO,TRK8179032026
108,119,2026-05-16,24858,19,7248,470,LTL,FedEx,TRK7442708594
109,120,2026-01-28,21922,34,299,260,FTL,Maersk,TRK7450117858
110,122,2025-07-31,40043,30,5864,676,Parcel,Maersk,TRK9327571117
111,123,2026-05-13,36035,12,1131,605,Air,DHL,TRK3362514093
112,124,2026-12-19,31036,7,1391,71,Air,Maersk,TRK6328313032
113,125,2027-02-12,19029,24,4700,187,Parcel,DB Schenker,TRK8396623233
114,125,2027-02-14,19029,24,4700,313,Air,Maersk,TRK8207174532
115,127,2026-06-26,14156,16,2341,518,FTL,DHL,TRK1808585552
116,128,2026-04-21,13722,11,2935,412,Air,FedEx,TRK2277915078
117,130,2026-10-06,530,23,3816,151,Air,FedEx,TRK8927137325
118,131,2025-03-12,13701,13,4228,283,LTL,Maersk,TRK6578770210
119,132,2027-01-08,3796,9,6076,163,Parcel,FedEx,TRK2284066560
120,134,2025-04-16,42931,8,100,194,Air,UPS,TRK5298757086
121,135,2025-04-19,21574,14,4192,458,FTL,Maersk,TRK7735208442
122,136,2025-07-31,4439,13,7253,158,FTL,FedEx,TRK1729446518
123,136,2025-08-02,4439,13,7253,109,Air,Maersk,TRK9489759423
124,137,2025-11-22,6127,7,9213,235,FTL,XPO,TRK8828256823
125,137,2025-11-24,6127,7,9213,118,Air,XPO,TRK5909523332
126,138,2026-12-02,37412,12,2712,7,LTL,UPS,TRK2601391202
127,139,2026-03-24,41988,16,3502,449,Air,UPS,TRK2064546133
128,141,2024-09-20,6042,29,9871,196,FTL,UPS,TRK6265565738
129,142,2026-12-25,20787,4,1911,664,FTL,UPS,TRK4580284451
130,143,2026-12-20,33005,32,5217,341,FTL,FedEx,TRK2823481108
131,145,2025-12-24,49838,35,7811,534,Parcel,Maersk,TRK5451663491
132,146,2026-04-01,8311,18,8837,17,FTL,FedEx,TRK2913507508
133,146,2026-04-03,8311,18,8837,30,LTL,DB Schenker,TRK8882318181
134,151,2026-01-11,26406,29,3225,551,Air,UPS,TRK8973457788
135,152,2025-01-13,44731,23,5549,651,LTL,Maersk,TRK3738559037
136,153,2026-08-21,8941,35,2268,631,Air,XPO,TRK4423490367
137,154,2024-08-13,4451,22,7815,515,Air,DHL,TRK8727987907
138,155,2026-09-09,3277,16,7680,123,FTL,XPO,TRK7750862865
139,156,2024-11-12,4133,20,7795,80,Parcel,DHL,TRK6756328015
140,157,2024-10-15,5098,29,7629,346,Parcel,XPO,TRK8056718844
141,159,2027-01-31,22702,4,3570,493,Parcel,DB Schenker,TRK2915475039
142,160,2024-12-11,25081,2,6295,158,Parcel,XPO,TRK8943798610
143,161,2025-09-20,39485,6,2448,618,Parcel,XPO,TRK9895023061
144,162,2026-01-23,30161,9,9892,510,LTL,DHL,TRK4012110620
145,163,2024-10-04,23048,21,9196,264,Parcel,Maersk,TRK4038334318
146,164,2024-09-11,6528,12,210,646,LTL,FedEx,TRK4898021564
147,165,2024-12-21,25029,2,1902,487,LTL,DB Schenker,TRK9275578320
148,168,2025-02-17,39684,18,8382,11,FTL,Maersk,TRK7111643763
149,169,2025-03-27,5615,20,8010,384,LTL,DB Schenker,TRK4929424226
150,170,2024-08-27,9693,4,2617,356,Parcel,Maersk,TRK8368069223
151,171,2026-10-22,6296,5,5057,358,FTL,UPS,TRK9662765473
152,172,2024-10-03,11620,23,7401,231,Air,DHL,TRK2240773225
153,172,2024-10-05,11620,23,7401,477,LTL,FedEx,TRK8680351204
154,173,2025-10-28,7799,5,5825,516,Air,DHL,TRK5145836748
155,174,2025-03-01,14298,22,6253,100,LTL,XPO,TRK8542385974
156,175,2025-07-31,35669,11,4030,71,Air,UPS,TRK4756785425
157,175,2025-08-02,35669,11,4030,122,LTL,DB Schenker,TRK5210188933
158,177,2024-09-13,30804,13,7392,280,Air,UPS,TRK4789119276
159,177,2024-09-15,30804,13,7392,152,Air,DHL,TRK4119777435
160,178,2027-02-05,210,3,1032,413,Parcel,Maersk,TRK3157829298
161,179,2025-09-13,16085,34,192,130,LTL,DHL,TRK5869911866
162,180,2024-09-16,35295,10,5725,326,LTL,UPS,TRK7874994977
163,181,2025-03-02,3485,29,4332,22,LTL,UPS,TRK9054774974
164,182,2026-02-03,2453,16,7132,372,FTL,UPS,TRK3400495710
165,184,2025-05-29,30406,29,7709,201,LTL,Maersk,TRK2368902024
166,185,2027-01-14,27679,9,6423,2,LTL,DHL,TRK2348275046
167,185,2027-01-16,27679,9,6423,52,LTL,FedEx,TRK8393613165
168,186,2026-10-13,7911,3,1940,228,LTL,DHL,TRK9829866870
169,186,2026-10-15,7911,3,1940,254,FTL,FedEx,TRK2666113037
170,187,2024-10-22,4468,18,5712,260,Air,Maersk,TRK5162635996
171,188,2026-08-06,8866,26,7787,660,FTL,UPS,TRK2058329776
172,189,2025-12-12,49662,5,1911,578,Air,Maersk,TRK6062574188
173,190,2026-05-06,5977,33,2505,147,Parcel,DB Schenker,TRK8507646094
174,191,2026-11-30,42095,9,7405,59,Parcel,DB Schenker,TRK3704327058
175,192,2024-11-18,249,35,6537,380,Air,Maersk,TRK3397115907
176,193,2025-07-31,20756,27,5670,49,Air,XPO,TRK8309707545
177,195,2025-04-05,26372,7,7379,302,FTL,Maersk,TRK7291209324
178,196,2024-12-03,8011,9,2646,381,Parcel,DB Schenker,TRK4287171255
179,197,2025-01-11,19483,22,778,4,Parcel,DHL,TRK2113620995
180,197,2025-01-13,19483,22,778,10,FTL,Maersk,TRK2190293832
181,199,2025-04-26,31210,23,8518,311,LTL,XPO,TRK7011020494
182,200,2026-03-29,35700,3,8170,167,FTL,DHL,TRK1439732637
183,201,2025-02-10,9712,3,7095,457,LTL,Maersk,TRK3682549713
184,202,2026-08-28,8496,14,3611,465,LTL,Maersk,TRK2614715791
185,203,2025-11-21,30910,27,554,163,LTL,DHL,TRK1438818624
186,204,2026-07-05,49480,21,2877,349,LTL,DB Schenker,TRK8177396641
187,205,2026-07-17,9067,2,295,259,Air,DB Schenker,TRK4939584034
188,206,2024-11-10,6565,6,9528,100,Parcel,UPS,TRK3713864463
189,207,2026-04-22,241,12,3745,408,Parcel,DHL,TRK8853114519
190,208,2025-11-26,10244,21,7064,13,FTL,FedEx,TRK7930254555
191,209,2026-09-20,3465,5,3151,50,Air,DHL,TRK4516923684
192,209,2026-09-22,3465,5,3151,27,Parcel,DHL,TRK8364725060
193,210,2026-11-06,4866,30,2301,364,FTL,DHL,TRK8320940541
194,211,2025-11-18,23141,24,2380,653,LTL,DB Schenker,TRK6775238722
195,212,2027-02-16,31849,4,6533,175,LTL,Maersk,TRK8802336281
196,212,2027-02-18,31849,4,6533,219,LTL,DB Schenker,TRK7212681239
197,213,2025-01-16,7547,18,267,20,LTL,UPS,TRK6123787512
198,213,2025-01-18,7547,18,267,23,LTL,XPO,TRK6414473917
199,214,2025-11-18,32488,35,588,5,Parcel,XPO,TRK1598017589
200,215,2026-08-11,5192,16,2628,163,LTL,FedEx,TRK4197612376
201,216,2026-05-30,43149,23,6189,3,Air,FedEx,TRK1336273064
202,217,2026-11-21,8760,10,1215,396,Air,DB Schenker,TRK4288710062
203,218,2026-08-24,35064,1,5095,648,Parcel,XPO,TRK9023016487
204,219,2024-08-27,30833,7,2178,537,LTL,Maersk,TRK9806794314
205,220,2025-08-07,8112,31,7276,51,LTL,DHL,TRK5917077488
206,220,2025-08-09,8112,31,7276,56,LTL,DHL,TRK6448628675
207,222,2024-10-18,5300,15,7488,492,LTL,Maersk,TRK4798724038
208,223,2025-11-05,1810,24,983,178,Air,FedEx,TRK2051467537
209,224,2025-12-10,16978,27,1437,18,Air,DHL,TRK3988378866
210,224,2025-12-12,16978,27,1437,67,Air,Maersk,TRK2793982915
211,225,2026-07-08,21625,25,2772,136,Air,DHL,TRK2211717854
212,226,2026-05-10,5065,32,8575,413,LTL,DB Schenker,TRK2974330739
213,227,2025-03-14,23522,10,267,510,Parcel,FedEx,TRK3662112913
214,229,2026-05-28,42007,23,3803,294,Air,FedEx,TRK8801102690
215,230,2025-01-22,42077,12,9047,581,LTL,FedEx,TRK9711960463
216,231,2026-07-29,4108,3,4736,576,LTL,DB Schenker,TRK8209666579
217,232,2026-08-03,8707,25,3135,6,FTL,XPO,TRK5771468039
218,232,2026-08-05,8707,25,3135,124,LTL,Maersk,TRK7347095116
219,233,2026-03-15,8448,22,7646,335,Air,FedEx,TRK7259813454
220,233,2026-03-17,8448,22,7646,219,Parcel,FedEx,TRK8085644631
221,234,2024-09-27,30250,28,7987,245,LTL,Maersk,TRK4768835193
222,235,2026-08-14,19306,31,8788,72,Air,XPO,TRK9541173484
223,236,2026-03-02,7419,32,2071,313,FTL,DHL,TRK9830842629
224,238,2027-02-02,9855,34,9733,616,Parcel,Maersk,TRK2706947365
225,241,2025-03-10,23599,22,2821,433,Parcel,Maersk,TRK8779128834
226,242,2025-07-04,3976,24,8505,653,FTL,UPS,TRK6077151755
227,243,2024-09-26,4795,23,9040,323,Air,FedEx,TRK6838736932
228,244,2025-11-26,39746,15,8950,167,Parcel,DB Schenker,TRK2858845748
229,245,2026-01-09,4411,13,3867,600,Parcel,DHL,TRK8389056185
230,246,2026-03-23,41288,31,5795,34,Air,FedEx,TRK7532110362
231,247,2025-12-09,49651,9,4053,110,Air,DHL,TRK2745132749
232,248,2025-06-12,4763,2,9708,365,Parcel,XPO,TRK5511818021
233,249,2026-07-12,30773,28,6737,261,Parcel,DB Schenker,TRK9727818683
234,250,2025-07-13,7674,3,2810,391,Air,DB Schenker,TRK7023377302
235,251,2026-01-30,8642,16,3070,326,Parcel,Maersk,TRK9733349098
236,251,2026-02-01,8642,16,3070,271,LTL,DHL,TRK5159246298
237,252,2025-12-26,30734,28,7788,415,LTL,UPS,TRK2203313198
238,253,2026-05-09,6647,8,2726,426,Air,UPS,TRK8653030252
239,254,2025-07-10,4492,15,42,39,Air,XPO,TRK7600651302
240,256,2026-11-26,4368,10,5725,22,Air,UPS,TRK4504159527
241,256,2026-11-28,4368,10,5725,29,Parcel,Maersk,TRK7952483610
242,257,2025-05-19,5826,11,8344,27,LTL,FedEx,TRK6535144535
243,257,2025-05-21,5826,11,8344,17,FTL,XPO,TRK3773453224
244,259,2026-06-23,1494,28,1793,614,Air,FedEx,TRK6568394664
245,261,2026-08-04,461,25,3642,235,LTL,XPO,TRK3264112496
246,262,2026-02-19,9036,28,9229,158,FTL,DHL,TRK1600649380
247,263,2025-08-15,29772,1,7384,283,Air,DB Schenker,TRK3506511992
248,264,2024-12-21,7875,4,9769,64,FTL,DHL,TRK5960095268
249,264,2024-12-23,7875,4,9769,156,Parcel,DB Schenker,TRK6981308741
250,265,2025-06-20,9473,12,3569,26,Air,FedEx,TRK9007132930
251,265,2025-06-22,9473,12,3569,41,FTL,DB Schenker,TRK4401625030
252,267,2026-07-10,35271,2,7050,462,FTL,DHL,TRK1522397853
253,268,2026-02-02,16292,16,5732,354,LTL,FedEx,TRK2312104984
254,269,2026-04-10,41950,3,4928,65,Air,UPS,TRK4974779966
255,270,2027-01-24,3834,10,8914,623,Parcel,XPO,TRK4866969697
256,272,2026-05-19,38925,23,2300,129,LTL,UPS,TRK6246928512
257,273,2025-11-29,17644,18,6897,332,LTL,Maersk,TRK3200743682
258,274,2025-11-03,43893,3,1245,266,Air,XPO,TRK9956620757
259,274,2025-11-05,43893,3,1245,288,FTL,XPO,TRK7325804943
260,276,2026-11-06,9565,17,9324,159,Air,DHL,TRK7423067137
261,276,2026-11-08,9565,17,9324,78,Air,XPO,TRK4602136309
262,278,2026-09-06,21756,19,4326,14,Parcel,DB Schenker,TRK2135255027
263,278,2026-09-08,21756,19,4326,208,Air,DHL,TRK3096004070
264,280,2025-09-02,7025,22,839,596,Parcel,XPO,TRK5795561799
265,281,2024-11-17,3294,29,6018,518,LTL,DHL,TRK8872331876
266,282,2025-05-05,11270,11,731,50,FTL,UPS,TRK6252376589
267,282,2025-05-07,11270,11,731,157,Parcel,Maersk,TRK2807706070
268,283,2026-09-09,43467,13,3211,479,Air,FedEx,TRK9256403527
269,284,2026-07-10,813,9,853,255,Air,DHL,TRK6092090855
270,285,2025-09-05,4139,16,7151,643,Parcel,UPS,TRK5587458178
271,286,2024-09-01,26254,7,7442,29,Parcel,XPO,TRK8361924673
272,287,2025-06-12,17767,3,9620,650,Air,FedEx,TRK4796801782
273,288,2026-02-14,7895,1,2331,538,LTL,UPS,TRK8962483501
274,290,2024-08-25,46559,12,1079,153,FTL,UPS,TRK8009448188
275,291,2025-08-24,16117,19,6837,408,Air,DHL,TRK5999504886
276,292,2025-11-05,9387,10,6181,439,Parcel,DB Schenker,TRK9022312197
277,292,2025-11-07,9387,10,6181,359,LTL,Maersk,TRK7779187730
278,293,2025-03-05,11689,4,8138,147,Air,FedEx,TRK6823450598
279,294,2026-06-20,26342,33,104,119,FTL,UPS,TRK1093375781
280,295,2025-06-27,32848,2,5426,195,FTL,Maersk,TRK1112980662
281,295,2025-06-29,32848,2,5426,509,Parcel,FedEx,TRK8347526975
282,296,2024-12-14,24348,25,3775,125,FTL,DB Schenker,TRK7800909960
283,298,2026-11-13,44505,14,9153,64,FTL,FedEx,TRK5720123145
284,298,2026-11-15,44505,14,9153,510,FTL,Maersk,TRK9723614649
285,300,2025-06-08,3586,24,702,25,LTL,FedEx,TRK6793720954
286,301,2024-10-24,3672,19,2374,663,Air,DHL,TRK8662589768
287,303,2025-09-04,28157,18,3092,217,Parcel,DB Schenker,TRK2279414695
288,304,2025-07-27,6535,27,9276,192,Air,DHL,TRK8410044872
289,305,2026-06-28,11376,27,5806,26,Parcel,DHL,TRK8550310326
290,306,2025-10-15,34660,27,3260,68,LTL,FedEx,TRK9211587899
291,307,2024-12-30,22370,34,3030,145,Air,UPS,TRK1999035831
292,307,2025-01-01,22370,34,3030,416,Air,DHL,TRK9998430306
293,308,2026-02-04,39344,24,382,84,Parcel,XPO,TRK9659692905
294,309,2026-10-30,47095,15,6043,212,LTL,DB Schenker,TRK5060071753
295,309,2026-11-01,47095,15,6043,93,Air,DHL,TRK5478989515
296,312,2026-02-05,5485,25,6222,161,LTL,Maersk,TRK1839984300
297,313,2026-12-28,10196,3,2245,173,Parcel,DHL,TRK4225324922
298,313,2026-12-30,10196,3,2245,555,FTL,DB Schenker,TRK8504607051
299,315,2024-09-24,42855,12,8953,296,FTL,DHL,TRK4081561774
300,316,2026-07-27,2720,25,3217,13,Parcel,FedEx,TRK5234122703
301,317,2024-12-12,16720,33,6388,45,LTL,XPO,TRK5380321066
302,317,2024-12-14,16720,33,6388,732,FTL,DHL,TRK5433812673
303,319,2025-05-09,43242,26,8587,55,Air,DHL,TRK7429839454
304,319,2025-05-11,43242,26,8587,157,Parcel,DHL,TRK2927609513
305,320,2026-05-23,5849,20,7431,46,FTL,FedEx,TRK1130611405
306,320,2026-05-25,5849,20,7431,644,Parcel,XPO,TRK1162331971
307,321,2024-11-22,36842,32,102,98,Parcel,XPO,TRK6201390858
308,323,2026-11-12,28999,4,7513,364,Air,DB Schenker,TRK3310113262
309,324,2026-11-20,5954,29,668,59,Air,DHL,TRK7891464425
310,324,2026-11-22,5954,29,668,150,Parcel,FedEx,TRK6105587482
311,326,2026-08-16,844,29,6853,640,FTL,FedEx,TRK3306389557
312,327,2026-03-07,29089,9,2502,415,Parcel,Maersk,TRK7273387423
313,328,2026-06-06,45577,17,8183,523,LTL,DB Schenker,TRK2760951189
314,329,2025-09-18,38655,35,6427,519,LTL,UPS,TRK2604420767
315,330,2025-12-18,4499,26,4113,409,LTL,Maersk,TRK9999682786
316,332,2025-09-15,37369,33,5787,215,Air,UPS,TRK8497772269
317,333,2025-04-30,31248,33,6899,213,Parcel,Maersk,TRK6429880143
318,333,2025-05-02,31248,33,6899,99,FTL,DB Schenker,TRK2896183353
319,336,2024-11-30,10130,33,1611,98,LTL,FedEx,TRK5535535256
320,337,2024-10-31,9822,13,6675,571,FTL,DHL,TRK4409787439
321,339,2024-12-13,41426,4,3037,187,Parcel,UPS,TRK4794813967
322,340,2026-09-21,259,16,915,90,LTL,XPO,TRK2068829912
323,341,2026-12-09,1792,34,6570,676,Air,Maersk,TRK8653701527
324,343,2026-08-22,4920,17,4329,276,Air,UPS,TRK5560561304
325,344,2026-05-25,16097,19,760,107,Parcel,Maersk,TRK7801503922
326,344,2026-05-27,16097,19,760,339,FTL,Maersk,TRK8125820846
327,345,2025-12-08,11061,15,5030,549,LTL,DHL,TRK7792863254
328,346,2026-05-02,13623,3,278,156,Parcel,DB Schenker,TRK7159224803
329,346,2026-05-04,13623,3,278,113,LTL,Maersk,TRK1439521560
330,347,2026-12-11,48803,5,8251,409,LTL,DB Schenker,TRK4948434007
331,350,2026-05-07,1890,18,8296,248,Air,XPO,TRK4845406087
332,350,2026-05-09,1890,18,8296,494,Parcel,FedEx,TRK4515763980
333,351,2025-12-13,28869,34,2472,68,FTL,FedEx,TRK9758960751
334,353,2024-12-26,6920,10,1722,570,FTL,FedEx,TRK3847912700
335,355,2024-10-08,32796,3,9772,165,Parcel,DB Schenker,TRK8458609817
336,358,2026-11-08,17641,16,4934,308,Air,DB Schenker,TRK2927395950
337,359,2026-06-08,4937,32,8247,22,Parcel,DHL,TRK4990221235
338,360,2026-03-16,7492,4,8142,176,Air,FedEx,TRK2568727955
339,360,2026-03-18,7492,4,8142,167,Air,DB Schenker,TRK4569349768
340,361,2026-07-30,1984,26,1641,44,FTL,FedEx,TRK7971007625
341,365,2025-09-28,4848,22,415,202,Parcel,Maersk,TRK5040403474
342,366,2024-12-18,2444,27,9662,501,LTL,XPO,TRK3838138236
343,367,2024-11-09,26863,32,9135,73,FTL,DB Schenker,TRK7576949599
344,368,2026-07-06,5770,15,9876,594,LTL,XPO,TRK8935998915
345,369,2025-09-23,28659,11,9953,131,Parcel,DHL,TRK2887886439
346,370,2026-11-20,10913,7,2369,142,LTL,XPO,TRK7342040926
347,371,2025-01-22,19912,3,7194,425,Air,DHL,TRK4159935568
348,372,2027-01-26,26202,22,468,1,FTL,XPO,TRK9903052507
349,373,2026-12-12,29978,16,1839,628,LTL,Maersk,TRK9468798638
350,374,2025-08-26,3073,29,351,656,FTL,Maersk,TRK3749109305
351,375,2025-06-16,23466,5,469,285,Parcel,XPO,TRK2828303554
352,375,2025-06-18,23466,5,469,314,FTL,UPS,TRK9877002078
353,376,2026-04-13,871,15,9581,468,Parcel,XPO,TRK5556360917
354,377,2025-12-24,38111,19,4070,89,FTL,DHL,TRK9231718102
355,377,2025-12-26,38111,19,4070,50,FTL,UPS,TRK1853486983
356,379,2025-03-20,45238,34,3396,594,Air,DHL,TRK9612988136
357,380,2026-10-26,39235,22,1417,9,LTL,UPS,TRK3116154831
358,381,2026-07-06,8790,33,3382,297,Air,FedEx,TRK5191518657
359,383,2024-09-07,8168,22,8700,649,Parcel,FedEx,TRK2345020928
360,384,2026-06-22,10684,1,5384,278,LTL,Maersk,TRK9161760174
361,385,2024-09-24,8389,33,31,470,Air,DHL,TRK7803288484
362,386,2025-03-30,5872,35,6629,170,Air,DHL,TRK6165597906
363,387,2026-02-06,38831,26,5759,14,LTL,DHL,TRK5512796404
364,387,2026-02-08,38831,26,5759,60,Air,DB Schenker,TRK6974805186
365,388,2026-03-19,7173,3,582,90,LTL,DB Schenker,TRK8074306072
366,389,2025-10-13,9970,27,3170,79,FTL,FedEx,TRK4033189888
367,391,2027-02-14,2433,3,1745,567,LTL,DB Schenker,TRK7173189985
