Material_Key,SAP_Material_Number,QAD_Material_Number,SAP_Planning_SKU,QAD_Planning_SKU,material_description,material_type,unit_of_measure,unit_of_measure_description,product_line,product_line_description,weight,application,sub_application,brand,brand_category,length_in,width_in,height_in,warranty_months,pallet_quantity,cost_usd,pallet_layer_qty,MCN
44,891161766,Q592464,PLN-200044,QPLN-200044,MediPower Controls Marine Propulsion 00044,FG,KG,Kilogram,Controls,Controllers & power electronics,2.3,Marine,Propulsion,MediPower,Medical,40,10,2,31,16,486.16,4,MCN2617
45,670515512,Q167919,PLN-200045,QPLN-200045,TitanCore Wiring Automotive EV/Hybrid 00045,FG,LBS,Pounds,Wiring,Harnesses & connectors,25.46,Automotive,EV/Hybrid,TitanCore,Industrial,20,25,8,26,8,257.09,2,MCN1816
46,700427631,Q585430,PLN-200046,QPLN-200046,TitanCore Controls Automotive ICE 00046,SFG,FT,Feet,Controls,Controllers & power electronics,8.87,Automotive,ICE,TitanCore,Industrial,61,8,17,5,3,204.12,1,
47,966656175,Q116144,PLN-200047,QPLN-200047,MediPower Sensing Aerospace Avionics 00047,FG,KG,Kilogram,Sensing,Sensors & actuators,1.44,Aerospace,Avionics,MediPower,Medical,5,10,10,26,128,529.65,32,MCN3392
48,881465106,Q504356,PLN-200048,QPLN-200048,TitanCore Sensing Energy Storage 00048,RM,EA,Each,Sensing,Sensors & actuators,6.64,Energy,Storage,TitanCore,Industrial,22,15,19,4,6,46.99,3,
49,783035532,Q737507,PLN-200049,QPLN-200049,VoltMax Charging Industrial Backup Power 00049,SFG,KG,Kilogram,Charging,Chargers & accessories,5.51,Industrial,Backup Power,VoltMax,Premium,35,3,15,19,16,316.59,16,
50,616788428,Q240933,PLN-200050,QPLN-200050,HarborVolt Thermal Energy Storage 00050,FG,EA,Each,Thermal,Cooling systems & manifolds,18.97,Energy,Storage,HarborVolt,Marine,10,23,7,22,32,289.06,8,MCN1381
51,732135065,Q994607,PLN-200051,QPLN-200051,VoltMax Enclosures Aerospace Avionics 00051,FG,FT,Feet,Enclosures,"Cabinets, housings, brackets",5.73,Aerospace,Avionics,VoltMax,Premium,17,19,16,29,12,349.46,4,MCN3180
52,764161195,Q532713,PLN-200052,QPLN-200052,TitanCore Controls Aerospace Avionics 00052,SFG,EA,Each,Controls,Controllers & power electronics,4.47,Aerospace,Avionics,TitanCore,Industrial,21,17,10,9,6,132.68,2,
53,249603281,Q970572,PLN-200053,QPLN-200053,AeroLite Enclosures Medical Devices 00053,FG,EA,Each,Enclosures,"Cabinets, housings, brackets",22.35,Medical,Devices,AeroLite,Aerospace,41,21,21,23,1,549.43,1,MCN2251
54,398711254,Q916704,PLN-200054,QPLN-200054,EcoCell Sensing Aerospace Avionics 00054,FG,LBS,Pounds,Sensing,Sensors & actuators,181.57,Aerospace,Avionics,EcoCell,Value,40,21,23,22,8,208.74,2,MCN3053
55,431186753,Q126628,PLN-200055,QPLN-200055,MediPower Energy Storage Marine Propulsion 00055,FG,LBS,Pounds,Energy Storage,Battery modules and packs,19.56,Marine,Propulsion,MediPower,Medical,12,28,8,24,12,128.17,3,MCN2402
56,642876293,Q299548,PLN-200056,QPLN-200056,AeroLite Charging Aerospace Avionics 00056,FG,SET,Set,Charging,Chargers & accessories,1.79,Aerospace,Avionics,AeroLite,Aerospace,26,18,1,23,4,350.04,2,MCN1125
57,240624492,Q896533,PLN-200057,QPLN-200057,AeroLite Charging Industrial Material Handling 00057,SFG,LBS,Pounds,Charging,Chargers & accessories,35.92,Industrial,Material Handling,AeroLite,Aerospace,15,16,13,8,6,272.9,6,
58,923842473,Q640758,PLN-200058,QPLN-200058,HarborVolt Energy Storage Energy Storage 00058,RM,FT,Feet,Energy Storage,Battery modules and packs,5.29,Energy,Storage,HarborVolt,Marine,43,20,16,22,2,28.76,1,
59,991246570,Q236924,PLN-200059,QPLN-200059,HarborVolt Enclosures Aerospace Avionics 00059,FG,EA,Each,Enclosures,"Cabinets, housings, brackets",21.58,Aerospace,Avionics,HarborVolt,Marine,15,20,15,19,12,324.63,4,MCN2223
60,876767740,Q638559,PLN-200060,QPLN-200060,EcoCell Enclosures Industrial Backup Power 00060,RM,FT,Feet,Enclosures,"Cabinets, housings, brackets",8.72,Industrial,Backup Power,EcoCell,Value,7,18,2,10,20,28.25,10,
61,848368871,Q768456,PLN-200061,QPLN-200061,TitanCore Controls Industrial Backup Power 00061,FG,EA,Each,Controls,Controllers & power electronics,2.72,Industrial,Backup Power,TitanCore,Industrial,27,13,11,18,9,177.42,3,MCN2309
62,915891912,Q313279,PLN-200062,QPLN-200062,MediPower Controls Aerospace Avionics 00062,FG,LBS,Pounds,Controls,Controllers & power electronics,15.81,Aerospace,Avionics,MediPower,Medical,18,24,8,30,16,308.28,4,MCN2195
63,806083002,Q128955,PLN-200063,QPLN-200063,MediPower Enclosures Automotive EV/Hybrid 00063,RM,SET,Set,Enclosures,"Cabinets, housings, brackets",34.22,Automotive,EV/Hybrid,MediPower,Medical,14,13,8,8,24,71.34,6,
64,438510853,Q781842,PLN-200064,QPLN-200064,MediPower Energy Storage Medical Devices 00064,SFG,KG,Kilogram,Energy Storage,Battery modules and packs,1.67,Medical,Devices,MediPower,Medical,32,15,2,18,6,196.47,3,
65,220202391,Q528515,PLN-200065,QPLN-200065,TitanCore Charging Aerospace Avionics 00065,FG,SET,Set,Charging,Chargers & accessories,5.17,Aerospace,Avionics,TitanCore,Industrial,34,8,12,18,12,195.72,6,MCN1483
66,779893186,Q608992,PLN-200066,QPLN-200066,TitanCore Thermal Automotive EV/Hybrid 00066,FG,EA,Each,Thermal,Cooling systems & manifolds,1.4,Automotive,EV/Hybrid,TitanCore,Industrial,37,1,3,18,192,323.01,48,MCN1468
67,310833480,Q866142,PLN-200067,QPLN-200067,TitanCore Sensing Energy Storage 00067,SFG,KG,Kilogram,Sensing,Sensors & actuators,1.18,Energy,Storage,TitanCore,Industrial,5,11,9,20,64,187.78,32,
68,859712813,Q209225,PLN-200068,QPLN-200068,HarborVolt Thermal Medical Devices 00068,PKG,LBS,Pounds,Thermal,Cooling systems & manifolds,5.14,Medical,Devices,HarborVolt,Marine,43,12,3,15,1,7.12,1,
69,857760080,Q861909,PLN-200069,QPLN-200069,TitanCore Thermal Marine Propulsion 00069,SUBASSY,SET,Set,Thermal,Cooling systems & manifolds,13.58,Marine,Propulsion,TitanCore,Industrial,25,11,2,0,12,127.17,4,
70,688938638,Q113078,PLN-200070,QPLN-200070,TitanCore Charging Automotive ICE 00070,SFG,FT,Feet,Charging,Chargers & accessories,1.62,Automotive,ICE,TitanCore,Industrial,19,1,6,6,384,212.71,96,
71,561940638,Q502528,PLN-200071,QPLN-200071,AeroLite Controls Medical Devices 00071,PKG,EA,Each,Controls,Controllers & power electronics,14.02,Medical,Devices,AeroLite,Aerospace,44,2,18,27,4,9.69,1,
72,500976680,Q170168,PLN-200072,QPLN-200072,AeroLite Enclosures Automotive ICE 00072,FG,SET,Set,Enclosures,"Cabinets, housings, brackets",4.66,Automotive,ICE,AeroLite,Aerospace,10,20,1,24,32,874.78,8,MCN1345
73,594956028,Q488974,PLN-200073,QPLN-200073,AeroLite Charging Industrial Backup Power 00073,PKG,SET,Set,Charging,Chargers & accessories,8.57,Industrial,Backup Power,AeroLite,Aerospace,32,27,11,4,2,7.8,1,
74,577019151,Q860213,PLN-200074,QPLN-200074,AeroLite Wiring Industrial Backup Power 00074,FG,FT,Feet,Wiring,Harnesses & connectors,21.82,Industrial,Backup Power,AeroLite,Aerospace,13,21,6,28,24,269.55,6,MCN2823
75,891598888,Q525080,PLN-200075,QPLN-200075,HarborVolt Charging Marine Propulsion 00075,RM,KG,Kilogram,Charging,Chargers & accessories,9.66,Marine,Propulsion,HarborVolt,Marine,30,23,10,10,8,86.54,2,
76,572335075,Q859364,PLN-200076,QPLN-200076,TitanCore Charging Automotive EV/Hybrid 00076,FG,SET,Set,Charging,Chargers & accessories,15.42,Automotive,EV/Hybrid,TitanCore,Industrial,7,31,12,40,15,315.51,5,MCN1883
77,793507372,Q776614,PLN-200077,QPLN-200077,HarborVolt Charging Medical Devices 00077,RM,FT,Feet,Charging,Chargers & accessories,5.48,Medical,Devices,HarborVolt,Marine,11,3,9,5,96,39.6,48,
78,239171430,Q612312,PLN-200078,QPLN-200078,TitanCore Controls Automotive ICE 00078,RM,EA,Each,Controls,Controllers & power electronics,8.31,Automotive,ICE,TitanCore,Industrial,42,22,6,6,4,32.72,1,
79,991634985,Q404482,PLN-200079,QPLN-200079,MediPower Charging Automotive ICE 00079,SFG,EA,Each,Charging,Chargers & accessories,14.75,Automotive,ICE,MediPower,Medical,3,10,13,16,208,315.35,52,
80,429491734,Q543199,PLN-200080,QPLN-200080,AeroLite Energy Storage Marine Propulsion 00080,SFG,SET,Set,Energy Storage,Battery modules and packs,21.28,Marine,Propulsion,AeroLite,Aerospace,22,4,11,0,24,166.41,12,
81,278538968,Q448164,PLN-200081,QPLN-200081,MediPower Wiring Automotive ICE 00081,RM,EA,Each,Wiring,Harnesses & connectors,23.26,Automotive,ICE,MediPower,Medical,44,18,5,10,3,98.24,1,
82,395513524,Q845576,PLN-200082,QPLN-200082,TitanCore Controls Energy Storage 00082,PKG,EA,Each,Controls,Controllers & power electronics,13.17,Energy,Storage,TitanCore,Industrial,42,21,13,7,1,9.65,1,
83,941078015,Q778992,PLN-200083,QPLN-200083,AeroLite Wiring Aerospace Avionics 00083,FG,EA,Each,Wiring,Harnesses & connectors,17.55,Aerospace,Avionics,AeroLite,Aerospace,11,20,8,31,12,472.69,6,MCN2918
84,685976122,Q763286,PLN-200084,QPLN-200084,HarborVolt Enclosures Industrial Backup Power 00084,RM,LBS,Pounds,Enclosures,"Cabinets, housings, brackets",18.58,Industrial,Backup Power,HarborVolt,Marine,19,13,18,19,12,72.72,6,
85,600566544,Q281302,PLN-200085,QPLN-200085,VoltMax Controls Marine Propulsion 00085,FG,LBS,Pounds,Controls,Controllers & power electronics,18.29,Marine,Propulsion,VoltMax,Premium,50,4,15,35,3,558.64,1,MCN2119
86,655570419,Q609623,PLN-200086,QPLN-200086,AeroLite Wiring Industrial Material Handling 00086,SFG,SET,Set,Wiring,Harnesses & connectors,12.29,Industrial,Material Handling,AeroLite,Aerospace,12,9,7,17,45,279.71,15,
87,377888903,Q807964,PLN-200087,QPLN-200087,EcoCell Charging Energy Storage 00087,RM,EA,Each,Charging,Chargers & accessories,10.92,Energy,Storage,EcoCell,Value,46,7,11,22,3,24.33,1,
88,387977984,Q336207,PLN-200088,QPLN-200088,MediPower Wiring Automotive EV/Hybrid 00088,RM,FT,Feet,Wiring,Harnesses & connectors,12.51,Automotive,EV/Hybrid,MediPower,Medical,28,25,21,13,4,80.25,1,
89,229582861,Q933347,PLN-200089,QPLN-200089,EcoCell Sensing Marine Propulsion 00089,FG,KG,Kilogram,Sensing,Sensors & actuators,18.25,Marine,Propulsion,EcoCell,Value,42,7,12,31,2,175.68,1,MCN3474
90,581599603,Q653794,PLN-200090,QPLN-200090,HarborVolt Controls Automotive EV/Hybrid 00090,SFG,LBS,Pounds,Controls,Controllers & power electronics,0.67,Automotive,EV/Hybrid,HarborVolt,Marine,25,4,1,19,36,247.62,12,
91,173035925,Q121102,PLN-200091,QPLN-200091,HarborVolt Wiring Industrial Backup Power 00091,RM,EA,Each,Wiring,Harnesses & connectors,8.22,Industrial,Backup Power,HarborVolt,Marine,25,1,9,15,96,71.27,48,
92,467699490,Q709866,PLN-200092,QPLN-200092,TitanCore Thermal Automotive EV/Hybrid 00092,SUBASSY,FT,Feet,Thermal,Cooling systems & manifolds,14.23,Automotive,EV/Hybrid,TitanCore,Industrial,24,9,13,14,10,141.13,5,
93,159766778,Q522018,PLN-200093,QPLN-200093,AeroLite Thermal Industrial Backup Power 00093,FG,LBS,Pounds,Thermal,Cooling systems & manifolds,84.05,Industrial,Backup Power,AeroLite,Aerospace,38,25,8,30,1,375.36,1,MCN2801
94,485420765,Q836448,PLN-200094,QPLN-200094,VoltMax Thermal Industrial Material Handling 00094,FG,SET,Set,Thermal,Cooling systems & manifolds,8.32,Industrial,Material Handling,VoltMax,Premium,32,26,12,21,2,217.73,1,MCN1723
95,467008918,Q516685,PLN-200095,QPLN-200095,HarborVolt Wiring Industrial Material Handling 00095,FG,EA,Each,Wiring,Harnesses & connectors,0.12,Industrial,Material Handling,HarborVolt,Marine,14,10,25,29,32,268.8,8,MCN2281
96,486921457,Q205271,PLN-200096,QPLN-200096,AeroLite Thermal Energy Storage 00096,FG,SET,Set,Thermal,Cooling systems & manifolds,19.99,Energy,Storage,AeroLite,Aerospace,39,2,5,21,24,320.71,24,MCN2987
97,740757009,Q643337,PLN-200097,QPLN-200097,MediPower Controls Aerospace Avionics 00097,SFG,SET,Set,Controls,Controllers & power electronics,1.92,Aerospace,Avionics,MediPower,Medical,28,4,2,6,36,455.18,12,
98,890270095,Q216300,PLN-200098,QPLN-200098,VoltMax Energy Storage Medical Devices 00098,SFG,LBS,Pounds,Energy Storage,Battery modules and packs,10.75,Medical,Devices,VoltMax,Premium,30,22,8,13,2,272.54,2,
99,869834755,Q924212,PLN-200099,QPLN-200099,MediPower Wiring Marine Propulsion 00099,SFG,KG,Kilogram,Wiring,Harnesses & connectors,10.52,Marine,Propulsion,MediPower,Medical,21,22,10,20,2,359.16,2,
100,657788988,Q867165,PLN-200100,QPLN-200100,TitanCore Controls Energy Storage 00100,RM,FT,Feet,Controls,Controllers & power electronics,4.55,Energy,Storage,TitanCore,Industrial,22,29,14,3,2,60.01,1,
101,582656488,Q529830,PLN-200101,QPLN-200101,EcoCell Wiring Industrial Backup Power 00101,PKG,SET,Set,Wiring,Harnesses & connectors,8.78,Industrial,Backup Power,EcoCell,Value,52,7,8,10,1,4.98,1,
102,285737967,Q225488,PLN-200102,QPLN-200102,EcoCell Enclosures Aerospace Avionics 00102,PKG,EA,Each,Enclosures,"Cabinets, housings, brackets",12.25,Aerospace,Avionics,EcoCell,Value,34,11,12,9,8,5.3,4,
103,312650165,Q163493,PLN-200103,QPLN-200103,HarborVolt Controls Marine Propulsion 00103,FG,KG,Kilogram,Controls,Controllers & power electronics,7.53,Marine,Propulsion,HarborVolt,Marine,37,14,7,20,6,315.69,3,MCN1502
104,357803538,Q931129,PLN-200104,QPLN-200104,AeroLite Energy Storage Automotive EV/Hybrid 00104,PKG,SET,Set,Energy Storage,Battery modules and packs,14.53,Automotive,EV/Hybrid,AeroLite,Aerospace,25,25,6,12,2,10.5,1,
105,630879995,Q775935,PLN-200105,QPLN-200105,TitanCore Enclosures Aerospace Avionics 00105,RM,SET,Set,Enclosures,"Cabinets, housings, brackets",15.56,Aerospace,Avionics,TitanCore,Industrial,26,11,11,6,16,70.5,4,
106,629060175,Q779658,PLN-200106,QPLN-200106,HarborVolt Energy Storage Industrial Material Handling 00106,FG,FT,Feet,Energy Storage,Battery modules and packs,18.83,Industrial,Material Handling,HarborVolt,Marine,29,18,8,9,4,368.14,2,MCN1178
107,438658290,Q559085,PLN-200107,QPLN-200107,TitanCore Charging Medical Devices 00107,PKG,FT,Feet,Charging,Chargers & accessories,2.2,Medical,Devices,TitanCore,Industrial,12,29,17,6,12,7.44,3,
108,567033957,Q459935,PLN-200108,QPLN-200108,AeroLite Sensing Aerospace Avionics 00108,RM,SET,Set,Sensing,Sensors & actuators,12.7,Aerospace,Avionics,AeroLite,Aerospace,8,16,10,12,15,86.38,15,
109,681817474,Q912899,PLN-200109,QPLN-200109,TitanCore Controls Marine Propulsion 00109,RM,LBS,Pounds,Controls,Controllers & power electronics,86.33,Marine,Propulsion,TitanCore,Industrial,30,24,11,18,8,59.17,2,
110,930679512,Q966730,PLN-200110,QPLN-200110,TitanCore Wiring Medical Devices 00110,FG,LBS,Pounds,Wiring,Harnesses & connectors,47.26,Medical,Devices,TitanCore,Industrial,36,9,16,17,5,265.29,5,MCN1565
111,571956040,Q534656,PLN-200111,QPLN-200111,HarborVolt Sensing Energy Storage 00111,SFG,SET,Set,Sensing,Sensors & actuators,19.25,Energy,Storage,HarborVolt,Marine,32,21,7,21,6,148.9,2,
112,521242428,Q719904,PLN-200112,QPLN-200112,AeroLite Charging Energy Storage 00112,RM,FT,Feet,Charging,Chargers & accessories,19.77,Energy,Storage,AeroLite,Aerospace,34,19,7,8,8,104.29,2,
113,998109078,Q972070,PLN-200113,QPLN-200113,VoltMax Wiring Industrial Backup Power 00113,PKG,SET,Set,Wiring,Harnesses & connectors,16.85,Industrial,Backup Power,VoltMax,Premium,6,21,21,6,12,6.21,12,
114,258133524,Q549264,PLN-200114,QPLN-200114,VoltMax Enclosures Aerospace Avionics 00114,FG,FT,Feet,Enclosures,"Cabinets, housings, brackets",7.99,Aerospace,Avionics,VoltMax,Premium,29,9,2,24,15,342.61,5,MCN1003
115,465392119,Q137978,PLN-200115,QPLN-200115,HarborVolt Controls Automotive ICE 00115,FG,SET,Set,Controls,Controllers & power electronics,0.1,Automotive,ICE,HarborVolt,Marine,12,24,8,29,12,340.94,6,MCN3367
116,460084368,Q144760,PLN-200116,QPLN-200116,HarborVolt Wiring Automotive EV/Hybrid 00116,PKG,EA,Each,Wiring,Harnesses & connectors,19.73,Automotive,EV/Hybrid,HarborVolt,Marine,37,30,13,13,3,4.97,1,
